"usgs_site","NA","post_SPC","post_NO3_NO2","post_TSS","post_Nitrate","post_Sulfate","post_Calcium","post_Potassium","post_Turbidity","pre_SPC","pre_NO3_NO2","pre_TSS","pre_Nitrate","pre_Sulfate","pre_Calcium","pre_Potassium","pre_Turbidity"
"USGS-06709000",NA,21,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA
"USGS-06710247",NA,88,60,60,NA,NA,NA,NA,NA,98,34,42,NA,NA,NA,NA,NA
"USGS-06713500",NA,259,244,NA,242,242,NA,NA,NA,375,165,NA,159,135,NA,NA,NA
"USGS-06714000",NA,52,43,NA,NA,27,NA,NA,NA,181,153,NA,NA,86,NA,NA,NA
"USGS-06720500",NA,40,34,NA,NA,19,NA,NA,NA,133,119,NA,NA,76,NA,NA,NA
"USGS-06726900",NA,60,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
"USGS-06741510",NA,24,20,NA,20,NA,NA,NA,NA,509,438,NA,271,NA,NA,NA,NA
"USGS-07103700",NA,350,111,NA,NA,108,108,NA,NA,752,308,NA,NA,251,210,NA,NA
"USGS-07103970",NA,344,105,NA,NA,103,103,NA,NA,535,103,NA,NA,96,103,NA,NA
"USGS-07103990",NA,100,44,NA,NA,NA,NA,NA,NA,456,50,NA,NA,NA,NA,NA,NA
"USGS-07104000",NA,115,44,56,NA,82,82,NA,NA,488,227,203,NA,184,125,NA,NA
"USGS-07104905",NA,341,65,NA,NA,93,101,NA,NA,203,57,NA,NA,57,57,NA,NA
"USGS-07105500",NA,241,64,NA,NA,93,101,NA,NA,997,340,NA,NA,291,231,NA,NA
"USGS-07105530",NA,396,114,NA,NA,107,108,NA,NA,316,193,NA,NA,179,180,NA,NA
"USGS-07105600",NA,70,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA
"USGS-07105800",NA,383,NA,NA,NA,NA,92,NA,NA,645,NA,NA,NA,NA,100,NA,NA
"USGS-07105900",NA,184,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
"USGS-07105940",NA,265,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
"USGS-07106000",NA,209,NA,NA,NA,NA,88,NA,NA,256,NA,NA,NA,NA,36,NA,NA
"USGS-07106300",NA,329,NA,NA,NA,NA,89,NA,NA,608,NA,NA,NA,NA,84,NA,NA
"USGS-07106500",NA,429,40,NA,NA,NA,88,NA,NA,751,315,NA,NA,NA,118,NA,NA
"USGS-07109500",NA,217,45,NA,NA,NA,NA,NA,NA,801,96,NA,NA,NA,NA,NA,NA
"USGS-07119500",NA,103,NA,NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,NA,NA
"USGS-07121500",NA,49,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA
"USGS-07124200",NA,92,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA
"USGS-07124410",NA,70,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
"USGS-07126200",NA,162,NA,NA,NA,22,22,22,NA,126,NA,NA,NA,27,27,27,NA
"USGS-07126300",NA,105,NA,NA,NA,37,37,37,NA,80,NA,NA,NA,53,53,53,NA
"USGS-07126485",NA,43,NA,NA,NA,21,21,21,NA,195,NA,NA,NA,51,50,51,NA
"USGS-07128500",NA,100,NA,NA,NA,NA,NA,NA,NA,440,NA,NA,NA,NA,NA,NA,NA
"USGS-07203000",NA,19,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA
"USGS-07207500",NA,46,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA
"USGS-07221500",NA,30,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA
"USGS-07227000",NA,154,NA,NA,NA,75,73,73,NA,48,NA,NA,NA,40,40,40,NA
"USGS-07227100",NA,208,NA,NA,NA,120,117,116,NA,68,NA,NA,NA,44,44,44,NA
"USGS-08251500",NA,50,NA,NA,NA,50,50,50,NA,191,NA,NA,NA,184,186,186,NA
"USGS-08265000",NA,62,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
"USGS-08266820",NA,64,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
"USGS-08269000",NA,48,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
"USGS-08276300",NA,64,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
"USGS-08286500",NA,33,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
"USGS-08313000",NA,1869,NA,NA,NA,NA,NA,NA,NA,1175,NA,NA,NA,NA,NA,NA,NA
"USGS-08317400",NA,35,29,NA,29,32,32,32,NA,59,21,NA,21,22,24,24,NA
"USGS-08319000",NA,20,NA,NA,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA
"USGS-08330000",NA,2162,NA,NA,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,NA,NA,NA
"USGS-08332010",NA,1602,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA
"USGS-08353000",NA,47,NA,NA,NA,NA,NA,NA,NA,977,NA,NA,NA,NA,NA,NA,NA
"USGS-08354900",NA,2222,NA,NA,NA,NA,NA,NA,NA,544,NA,NA,NA,NA,NA,NA,NA
"USGS-08355490",NA,1831,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
"USGS-08358400",NA,2089,NA,NA,NA,NA,NA,NA,NA,517,NA,NA,NA,NA,NA,NA,NA
"USGS-08382650",NA,90,18,NA,18,30,29,29,22,97,51,NA,41,77,78,78,44
"USGS-08383500",NA,112,NA,NA,NA,31,36,36,NA,103,NA,NA,NA,86,85,86,NA
"USGS-08384500",NA,65,NA,NA,NA,NA,NA,NA,NA,968,NA,NA,NA,NA,NA,NA,NA
"USGS-08385522",NA,34,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"USGS-08386000",NA,52,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA
"USGS-08387000",NA,52,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
"USGS-08481500",NA,43,NA,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA
"USGS-09041400",NA,38,33,NA,33,32,32,32,NA,257,247,NA,247,257,256,256,NA
"USGS-09081000",NA,25,23,NA,22,NA,NA,NA,NA,164,123,NA,122,NA,NA,NA,NA
"USGS-09085000",NA,28,23,NA,23,NA,NA,NA,NA,539,129,NA,129,NA,NA,NA,NA
"USGS-09095500",NA,24,NA,NA,NA,NA,NA,NA,NA,698,NA,NA,NA,NA,NA,NA,NA
"USGS-09105000",NA,119,NA,NA,NA,113,113,113,NA,231,NA,NA,NA,80,80,80,NA
"USGS-09114500",NA,152,73,NA,73,NA,NA,NA,NA,228,31,NA,31,NA,NA,NA,NA
"USGS-09128000",NA,76,33,NA,33,NA,NA,NA,NA,253,65,NA,64,NA,NA,NA,NA
"USGS-09144250",NA,174,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA
"USGS-09152500",NA,863,139,NA,139,249,NA,NA,NA,158,96,NA,53,97,NA,NA,NA
"USGS-09163500",NA,34,26,NA,26,23,NA,NA,NA,489,413,NA,349,470,NA,NA,NA
"USGS-09169500",NA,25,NA,NA,NA,24,24,24,NA,371,NA,NA,NA,271,271,270,NA
"USGS-09171100",NA,25,NA,NA,NA,24,24,24,NA,343,NA,NA,NA,269,269,269,NA
"USGS-09177000",NA,59,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA
"USGS-09180000",NA,37,NA,NA,NA,34,34,34,NA,280,NA,NA,NA,235,235,235,NA
"USGS-09234500",NA,94,28,NA,NA,86,86,86,NA,198,140,NA,NA,162,162,162,NA
"USGS-09260000",NA,32,NA,NA,NA,30,30,30,NA,267,NA,NA,NA,42,42,42,NA
"USGS-09260050",NA,60,31,NA,31,56,56,56,NA,228,37,NA,35,64,64,64,NA
"USGS-09261000",NA,84,NA,NA,NA,NA,NA,NA,NA,809,NA,NA,NA,NA,NA,NA,NA
"USGS-09266500",NA,123,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA
"USGS-09272400",NA,83,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
"USGS-09277500",NA,37,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA
"USGS-09279000",NA,19,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA
"USGS-09285900",NA,45,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA
"USGS-09288000",NA,34,NA,NA,NA,NA,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,NA
"USGS-09288180",NA,47,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA
"USGS-09291000",NA,19,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA
"USGS-09292000",NA,18,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA
"USGS-09295000",NA,19,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,NA,NA
"USGS-09295100",NA,19,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA
"USGS-09299500",NA,161,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
"USGS-09301500",NA,136,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"USGS-09302000",NA,19,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA,NA,NA,NA,NA
"USGS-09304200",NA,125,50,NA,49,NA,NA,NA,NA,467,25,NA,25,NA,NA,NA,NA
"USGS-09304500",NA,31,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA
"USGS-09304800",NA,116,30,NA,30,41,51,41,NA,420,51,NA,33,225,235,223,NA
"USGS-09306200",NA,109,58,NA,58,88,88,88,NA,181,92,NA,88,105,105,105,NA
"USGS-09306222",NA,78,44,NA,44,72,72,72,NA,262,78,NA,75,112,112,112,NA
"USGS-09306224",NA,22,NA,NA,NA,21,21,21,NA,75,NA,NA,NA,25,25,25,NA
"USGS-09306255",NA,93,39,NA,39,77,77,77,NA,177,41,NA,36,70,70,70,NA
"USGS-09306290",NA,247,28,NA,28,40,40,40,NA,275,81,NA,66,83,91,82,NA
"USGS-09306500",NA,71,NA,NA,NA,41,41,41,NA,268,NA,NA,NA,185,185,185,NA
"USGS-09310500",NA,110,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
"USGS-09310700",NA,78,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA
"USGS-09312600",NA,28,NA,NA,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA
"USGS-09314500",NA,93,NA,NA,NA,86,86,86,NA,179,NA,NA,NA,120,122,122,NA
"USGS-09315000",NA,19,NA,NA,NA,NA,NA,NA,NA,364,NA,NA,NA,NA,NA,NA,NA
"USGS-09326500",NA,124,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,NA
"USGS-09328500",NA,106,NA,NA,NA,103,103,103,NA,263,NA,NA,NA,200,199,200,NA
"USGS-09329050",NA,62,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA
"USGS-09330000",NA,101,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA
"USGS-09333500",NA,90,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA
"USGS-09337500",NA,108,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA
"USGS-09352900",NA,315,287,NA,88,286,286,286,NA,237,172,NA,51,190,191,191,NA
"USGS-09354500",NA,32,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA
"USGS-09355500",NA,146,NA,NA,NA,59,61,61,28,118,NA,NA,NA,112,112,112,102
"USGS-09364500",NA,21,NA,NA,NA,NA,NA,NA,NA,376,NA,NA,NA,NA,NA,NA,NA
"USGS-09365000",NA,259,NA,NA,NA,32,29,29,NA,41,NA,NA,NA,40,40,40,NA
"USGS-09367500",NA,39,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"USGS-09368000",NA,103,NA,NA,NA,23,23,22,NA,123,NA,NA,NA,113,110,109,NA
"USGS-09371000",NA,51,NA,NA,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
"USGS-09371010",NA,151,NA,NA,NA,65,60,60,22,120,NA,NA,NA,111,111,111,88
"USGS-09371520",NA,134,NA,NA,NA,130,130,130,NA,79,NA,NA,NA,79,78,79,NA
"USGS-09372000",NA,155,NA,NA,NA,150,NA,NA,NA,214,NA,NA,NA,161,NA,NA,NA
"USGS-09379500",NA,186,NA,NA,NA,135,135,135,115,227,NA,NA,NA,207,206,206,121
"USGS-09381800",NA,21,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA
"USGS-09404450",NA,75,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA
"USGS-09404900",NA,74,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"USGS-09405500",NA,106,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"USGS-09406000",NA,188,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA
"USGS-09408000",NA,145,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
"USGS-09408150",NA,104,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
"USGS-09408400",NA,30,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
"USGS-09409100",NA,34,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
"USGS-09410100",NA,77,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA
"USGS-09413000",NA,94,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
"USGS-09413200",NA,86,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA
"USGS-09413700",NA,40,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA
"USGS-09413900",NA,65,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
"USGS-09415000",NA,65,61,NA,61,62,62,62,NA,195,131,NA,127,190,190,190,NA
"USGS-09430600",NA,26,NA,NA,NA,26,26,26,NA,109,NA,NA,NA,71,73,73,NA
"USGS-09448500",NA,29,20,NA,NA,29,29,29,NA,142,105,NA,NA,142,142,134,NA
"USGS-09471000",NA,74,NA,NA,NA,24,NA,NA,NA,276,NA,NA,NA,158,NA,NA,NA
"USGS-09471400",NA,120,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA
"USGS-09471550",NA,88,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"USGS-09481740",NA,31,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
"USGS-09498500",NA,98,36,NA,NA,97,NA,NA,22,233,55,NA,NA,227,NA,NA,163
"USGS-09502000",NA,68,NA,NA,NA,68,68,68,NA,82,NA,NA,NA,82,82,82,NA
"USGS-09504000",NA,43,34,NA,NA,40,41,41,NA,194,135,NA,NA,191,192,170,NA
"USGS-09505800",NA,105,54,NA,53,97,NA,NA,NA,142,46,NA,46,137,NA,NA,NA
"USGS-09508500",NA,43,NA,NA,NA,43,NA,NA,NA,72,NA,NA,NA,43,NA,NA,NA
"USGS-09510000",NA,60,54,NA,NA,60,60,60,NA,117,50,NA,NA,114,114,114,NA
"USGS-09517000",NA,18,18,NA,18,18,NA,NA,NA,45,44,NA,44,44,NA,NA,NA
"USGS-10011500",NA,136,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA
"USGS-10109000",NA,54,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
"USGS-10113500",NA,84,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA
"USGS-10126000",NA,72,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,NA
"USGS-10128500",NA,56,NA,NA,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA
"USGS-10129500",NA,57,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA
"USGS-10130500",NA,60,NA,NA,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,NA
"USGS-10131000",NA,134,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA
"USGS-10132000",NA,54,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA
"USGS-10136500",NA,48,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
"USGS-10141000",NA,73,33,NA,33,35,32,32,NA,208,108,NA,64,124,123,124,NA
"USGS-10146400",NA,109,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA
"USGS-10147100",NA,36,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
"USGS-10149400",NA,90,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
"USGS-10150500",NA,32,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA
"USGS-10154200",NA,129,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA
"USGS-10155000",NA,153,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
"USGS-10163000",NA,167,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
"USGS-10166430",NA,135,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
"USGS-10171000",NA,94,56,NA,56,55,NA,NA,NA,447,317,NA,271,317,NA,NA,NA
"USGS-10172640",NA,19,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
"USGS-10172700",NA,128,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA
"USGS-10172800",NA,128,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA
"USGS-10173450",NA,37,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA
"USGS-10174500",NA,119,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
"USGS-10183500",NA,46,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA
"USGS-10189000",NA,91,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
"USGS-10194200",NA,78,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA
"USGS-10205030",NA,44,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
"USGS-10206000",NA,28,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
"USGS-10217000",NA,66,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
"USGS-10219000",NA,68,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
"USGS-10224000",NA,67,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA
"USGS-10234500",NA,52,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA
"USGS-402114105350101",NA,188,171,NA,117,179,NA,NA,NA,279,251,NA,86,244,NA,NA,NA
