FIREYEAR_C,gridcode,WShed_Name,TotalArea_sqmet,FireArea_sqkm
1959,16,Upper Redondo - Flume CZO,943636.54340280,0.5400592
1960,16,Upper Redondo - Flume CZO,943636.54340280,0.4353143
2013,16,Upper Redondo - Flume CZO,943636.54340280,0.9436365
1949,1,Indios Creek above Las Conchas burn,8979818.77575196,7.4854948
1960,1,Indios Creek above Las Conchas burn,8979818.77575196,8.9612314
1961,1,Indios Creek above Las Conchas burn,8979818.77575196,5.4221430
2011,1,Indios Creek above Las Conchas burn,8979818.77575196,1.5234856
1913,10,San Antonio above Hot Springs,167762000.45499191,0.1823676
1916,10,San Antonio above Hot Springs,167762000.45499191,10.1362970
1924,10,San Antonio above Hot Springs,167762000.45499191,0.0005282
1937,10,San Antonio above Hot Springs,167762000.45499191,0.1823676
1939,10,San Antonio above Hot Springs,167762000.45499191,0.0005282
1940,10,San Antonio above Hot Springs,167762000.45499191,0.3843095
1943,10,San Antonio above Hot Springs,167762000.45499191,0.0195742
1945,10,San Antonio above Hot Springs,167762000.45499191,9.5623974
1949,10,San Antonio above Hot Springs,167762000.45499191,18.7702406
1956,10,San Antonio above Hot Springs,167762000.45499191,18.7782804
1957,10,San Antonio above Hot Springs,167762000.45499191,18.2551064
1959,10,San Antonio above Hot Springs,167762000.45499191,0.0059524
1960,10,San Antonio above Hot Springs,167762000.45499191,17.1922694
1961,10,San Antonio above Hot Springs,167762000.45499191,27.6164849
1962,10,San Antonio above Hot Springs,167762000.45499191,1.4263438
1973,10,San Antonio above Hot Springs,167762000.45499191,0.4857059
2005,10,San Antonio above Hot Springs,167762000.45499191,7.3665053
2011,10,San Antonio above Hot Springs,167762000.45499191,72.6172649
2013,10,San Antonio above Hot Springs,167762000.45499191,14.6338324
2018,10,San Antonio above Hot Springs,167762000.45499191,5.0943572
2019,10,San Antonio above Hot Springs,167762000.45499191,0.3630238
1925,11,Upper Sulfur Creek,11099772.21334887,0.0005282
1926,11,Upper Sulfur Creek,11099772.21334887,0.0195742
1943,11,Upper Sulfur Creek,11099772.21334887,0.0005282
1960,11,Upper Sulfur Creek,11099772.21334887,0.0705408
2013,11,Upper Sulfur Creek,11099772.21334887,7.0367065
2018,11,Upper Sulfur Creek,11099772.21334887,0.9713133
1910,12,Lower Sulfur Creek,21370816.68328414,0.0195742
1925,12,Lower Sulfur Creek,21370816.68328414,0.0005282
1926,12,Lower Sulfur Creek,21370816.68328414,0.0195742
1932,12,Lower Sulfur Creek,21370816.68328414,0.0005282
1940,12,Lower Sulfur Creek,21370816.68328414,0.0391484
1943,12,Lower Sulfur Creek,21370816.68328414,0.0010565
1948,12,Lower Sulfur Creek,21370816.68328414,0.0005282
1959,12,Lower Sulfur Creek,21370816.68328414,2.4645683
1960,12,Lower Sulfur Creek,21370816.68328414,5.6623818
1963,12,Lower Sulfur Creek,21370816.68328414,0.5533507
2013,12,Lower Sulfur Creek,21370816.68328414,13.5191098
2018,12,Lower Sulfur Creek,21370816.68328414,0.9726499
1944,13,Jaramillo Creek - West Branch,4381719.33818353,0.0195742
1960,13,Jaramillo Creek - West Branch,4381719.33818353,0.1121775
1961,13,Jaramillo Creek - West Branch,4381719.33818353,0.2409865
2013,13,Jaramillo Creek - West Branch,4381719.33818353,4.3817193
1961,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,0.9600184
2013,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,3.2285554
1959,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,1.7749454
1960,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,2.0285472
2013,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,2.2803408
1927,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,0.1823676
1944,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,0.0195742
1960,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,0.1121775
1961,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,11.3131065
2011,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,9.5010716
2013,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,16.9993683
1927,18,Jaramillo Creek below burned areas,26640917.87399783,0.1823676
1944,18,Jaramillo Creek below burned areas,26640917.87399783,0.0195742
1960,18,Jaramillo Creek below burned areas,26640917.87399783,0.1121775
1961,18,Jaramillo Creek below burned areas,26640917.87399783,11.3131065
2011,18,Jaramillo Creek below burned areas,26640917.87399783,9.5010716
2013,18,Jaramillo Creek below burned areas,26640917.87399783,17.0446447
1913,19,San Antonio above San Antonio Campground,183268586.02548060,0.1823676
1916,19,San Antonio above San Antonio Campground,183268586.02548060,10.1362970
1924,19,San Antonio above San Antonio Campground,183268586.02548060,0.0005282
1930,19,San Antonio above San Antonio Campground,183268586.02548060,0.0195742
1937,19,San Antonio above San Antonio Campground,183268586.02548060,0.2215160
1939,19,San Antonio above San Antonio Campground,183268586.02548060,0.0005282
1940,19,San Antonio above San Antonio Campground,183268586.02548060,0.3843095
1943,19,San Antonio above San Antonio Campground,183268586.02548060,0.0195742
1945,19,San Antonio above San Antonio Campground,183268586.02548060,9.5824998
1949,19,San Antonio above San Antonio Campground,183268586.02548060,18.7702406
1955,19,San Antonio above San Antonio Campground,183268586.02548060,3.1736785
1956,19,San Antonio above San Antonio Campground,183268586.02548060,18.7782804
1957,19,San Antonio above San Antonio Campground,183268586.02548060,18.2551064
1959,19,San Antonio above San Antonio Campground,183268586.02548060,11.7829953
1960,19,San Antonio above San Antonio Campground,183268586.02548060,26.0010939
1961,19,San Antonio above San Antonio Campground,183268586.02548060,27.6170131
1962,19,San Antonio above San Antonio Campground,183268586.02548060,2.2850341
1963,19,San Antonio above San Antonio Campground,183268586.02548060,0.2008996
1973,19,San Antonio above San Antonio Campground,183268586.02548060,0.4857059
2005,19,San Antonio above San Antonio Campground,183268586.02548060,7.3665053
2011,19,San Antonio above San Antonio Campground,183268586.02548060,72.6172649
2013,19,San Antonio above San Antonio Campground,183268586.02548060,14.6338324
2018,19,San Antonio above San Antonio Campground,183268586.02548060,5.0943572
2019,19,San Antonio above San Antonio Campground,183268586.02548060,0.3630238
1913,2,San Antonio West,146211417.72133249,0.1823676
1916,2,San Antonio West,146211417.72133249,10.1362970
1924,2,San Antonio West,146211417.72133249,0.0005282
1937,2,San Antonio West,146211417.72133249,0.1823676
1940,2,San Antonio West,146211417.72133249,0.3843095
1943,2,San Antonio West,146211417.72133249,0.0195742
1945,2,San Antonio West,146211417.72133249,9.5623974
1949,2,San Antonio West,146211417.72133249,18.7702406
1956,2,San Antonio West,146211417.72133249,7.5645239
1957,2,San Antonio West,146211417.72133249,4.3446660
1960,2,San Antonio West,146211417.72133249,14.8831956
1961,2,San Antonio West,146211417.72133249,27.6164849
1962,2,San Antonio West,146211417.72133249,0.0195742
1973,2,San Antonio West,146211417.72133249,0.4857059
2005,2,San Antonio West,146211417.72133249,7.3665053
2011,2,San Antonio West,146211417.72133249,72.6172649
2013,2,San Antonio West,146211417.72133249,14.6338324
2018,2,San Antonio West,146211417.72133249,3.8257682
1938,20,Mirror Lake Trib,1362131.92567789,0.0005282
1959,20,Mirror Lake Trib,1362131.92567789,0.9799110
1960,20,Mirror Lake Trib,1362131.92567789,1.0366822
2013,20,Mirror Lake Trib,1362131.92567789,1.3621319
2013,21,ZOB Lower,316845.47776208,0.3168455
2013,22,History Grove - CZO,2441085.43817079,2.4410854
2013,23,History Grove - VCNP,2457517.10894452,2.4575171
1923,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.2019418
1928,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0005282
1931,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0005282
1938,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0005282
1940,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0005282
1941,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0005282
1942,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0015847
1944,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0195742
1950,24,Redondo Creek - Sonde VCNP,27045726.37193896,10.4331548
1953,24,Redondo Creek - Sonde VCNP,27045726.37193896,4.7651103
1959,24,Redondo Creek - Sonde VCNP,27045726.37193896,11.4694477
1960,24,Redondo Creek - Sonde VCNP,27045726.37193896,16.8037637
1961,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.0005282
1964,24,Redondo Creek - Sonde VCNP,27045726.37193896,4.2339794
2013,24,Redondo Creek - Sonde VCNP,27045726.37193896,22.2119283
2016,24,Redondo Creek - Sonde VCNP,27045726.37193896,0.2253430
2018,24,Redondo Creek - Sonde VCNP,27045726.37193896,1.7128992
2019,24,Redondo Creek - Sonde VCNP,27045726.37193896,2.8054179
1923,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.2019418
1928,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0005282
1931,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0005282
1938,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0005282
1940,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0005282
1941,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0005282
1942,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0015847
1944,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0195742
1950,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,10.1410461
1953,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,4.4730016
1959,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,11.4186941
1960,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,16.5116550
1961,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.0005282
1964,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,3.9418707
2013,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,21.9211786
2016,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,0.2253430
2018,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,1.7128992
2019,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,2.7584701
2013,26,LaJara Creek(just below VC0201) - Flume CZO,3503428.67476889,3.5034287
1923,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.1443010
1938,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.0005282
1940,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.0005282
1941,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.0005282
1942,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.0005282
1944,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.0195742
1950,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,7.4685099
1953,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,1.9311767
1959,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,10.7002014
1960,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,13.8296313
1961,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.0005049
1964,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,1.4433230
2013,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,20.5170278
2016,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,0.2253430
2018,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,1.7128992
2019,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,1.3558182
2013,28,LaJara Creek - VCNP Sonde,3750171.64406365,3.7501716
1938,29,Lower Redondo Creek - Flume CZO,13276254.17051292,0.0005282
1940,29,Lower Redondo Creek - Flume CZO,13276254.17051292,0.0005282
1950,29,Lower Redondo Creek - Flume CZO,13276254.17051292,0.1034770
1953,29,Lower Redondo Creek - Flume CZO,13276254.17051292,0.2781309
1959,29,Lower Redondo Creek - Flume CZO,13276254.17051292,10.3114028
1960,29,Lower Redondo Creek - Flume CZO,13276254.17051292,10.8018621
1964,29,Lower Redondo Creek - Flume CZO,13276254.17051292,0.0410542
2013,29,Lower Redondo Creek - Flume CZO,13276254.17051292,13.2762542
1937,3,Indios Creek,14089443.26873789,0.1812785
1940,3,Indios Creek,14089443.26873789,0.0195742
1949,3,Indios Creek,14089443.26873789,12.5930643
1960,3,Indios Creek,14089443.26873789,13.0505655
1961,3,Indios Creek,14089443.26873789,10.5317675
2011,3,Indios Creek,14089443.26873789,6.4685573
2013,30,LaJara Creek - Flume CZO,3755887.00781138,3.7558870
1910,31,Rio Cebolla - Upper Site,139149103.48292944,0.0587226
1913,31,Rio Cebolla - Upper Site,139149103.48292944,0.1823676
1914,31,Rio Cebolla - Upper Site,139149103.48292944,0.0010565
1916,31,Rio Cebolla - Upper Site,139149103.48292944,0.2272416
1917,31,Rio Cebolla - Upper Site,139149103.48292944,0.0005282
1918,31,Rio Cebolla - Upper Site,139149103.48292944,0.2008616
1922,31,Rio Cebolla - Upper Site,139149103.48292944,0.1823676
1923,31,Rio Cebolla - Upper Site,139149103.48292944,0.1823676
1924,31,Rio Cebolla - Upper Site,139149103.48292944,0.0005282
1925,31,Rio Cebolla - Upper Site,139149103.48292944,0.0005282
1929,31,Rio Cebolla - Upper Site,139149103.48292944,0.0008991
1933,31,Rio Cebolla - Upper Site,139149103.48292944,0.0195742
1934,31,Rio Cebolla - Upper Site,139149103.48292944,0.2236290
1938,31,Rio Cebolla - Upper Site,139149103.48292944,0.0195742
1940,31,Rio Cebolla - Upper Site,139149103.48292944,0.0407331
1942,31,Rio Cebolla - Upper Site,139149103.48292944,0.0010565
1943,31,Rio Cebolla - Upper Site,139149103.48292944,0.0005282
1945,31,Rio Cebolla - Upper Site,139149103.48292944,0.0031694
1955,31,Rio Cebolla - Upper Site,139149103.48292944,1.1981288
1956,31,Rio Cebolla - Upper Site,139149103.48292944,1.4570502
1957,31,Rio Cebolla - Upper Site,139149103.48292944,1.9802242
1959,31,Rio Cebolla - Upper Site,139149103.48292944,28.2447317
1960,31,Rio Cebolla - Upper Site,139149103.48292944,21.1991193
1961,31,Rio Cebolla - Upper Site,139149103.48292944,11.8942590
1962,31,Rio Cebolla - Upper Site,139149103.48292944,17.9703990
1963,31,Rio Cebolla - Upper Site,139149103.48292944,0.3638887
1964,31,Rio Cebolla - Upper Site,139149103.48292944,0.0402049
1971,31,Rio Cebolla - Upper Site,139149103.48292944,1.0649939
1974,31,Rio Cebolla - Upper Site,139149103.48292944,0.0485357
1981,31,Rio Cebolla - Upper Site,139149103.48292944,0.5202331
1985,31,Rio Cebolla - Upper Site,139149103.48292944,0.1477544
1993,31,Rio Cebolla - Upper Site,139149103.48292944,0.1566435
2002,31,Rio Cebolla - Upper Site,139149103.48292944,11.1819557
2010,31,Rio Cebolla - Upper Site,139149103.48292944,2.3268490
2011,31,Rio Cebolla - Upper Site,139149103.48292944,0.2395786
2018,31,Rio Cebolla - Upper Site,139149103.48292944,0.0115540
1950,32,Redondo Meadow,1351594.22376813,0.8805335
1960,32,Redondo Meadow,1351594.22376813,0.0184605
2013,32,Redondo Meadow,1351594.22376813,1.3515942
2018,32,Redondo Meadow,1351594.22376813,0.0000107
2019,32,Redondo Meadow,1351594.22376813,0.0038248
1927,33,Jaramillo Creek above EFJ confluence,41446924.87260224,0.2024701
1942,33,Jaramillo Creek above EFJ confluence,41446924.87260224,0.1823676
1944,33,Jaramillo Creek above EFJ confluence,41446924.87260224,0.0195742
1951,33,Jaramillo Creek above EFJ confluence,41446924.87260224,0.2195537
1960,33,Jaramillo Creek above EFJ confluence,41446924.87260224,0.1121775
1961,33,Jaramillo Creek above EFJ confluence,41446924.87260224,12.0664923
2005,33,Jaramillo Creek above EFJ confluence,41446924.87260224,0.0196109
2011,33,Jaramillo Creek above EFJ confluence,41446924.87260224,14.1203027
2013,33,Jaramillo Creek above EFJ confluence,41446924.87260224,20.3750971
1928,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0005282
1932,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0195742
1933,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0195742
1934,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0195742
1940,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0005282
1951,34,EFJ above Jaramillo Cr confluence,33347272.11399224,18.7213983
1959,34,EFJ above Jaramillo Cr confluence,33347272.11399224,1.3497032
1961,34,EFJ above Jaramillo Cr confluence,33347272.11399224,1.3263987
1964,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0005282
1985,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0466706
1992,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0839813
2000,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.0956706
2005,34,EFJ above Jaramillo Cr confluence,33347272.11399224,0.5559641
2011,34,EFJ above Jaramillo Cr confluence,33347272.11399224,29.7921134
2016,34,EFJ above Jaramillo Cr confluence,33347272.11399224,2.6048889
1961,35,Valle Grande Pond trib,10313373.88269125,0.1107066
2013,35,Valle Grande Pond trib,10313373.88269125,5.1207456
1913,36,LaJara West Branch,14117841.48235912,0.1468446
1923,36,LaJara West Branch,14117841.48235912,0.3415091
1928,36,LaJara West Branch,14117841.48235912,0.0195742
1960,36,LaJara West Branch,14117841.48235912,0.0660242
2003,36,LaJara West Branch,14117841.48235912,0.1613635
2013,36,LaJara West Branch,14117841.48235912,9.8973297
2018,36,LaJara West Branch,14117841.48235912,2.0593617
1922,37,East Fork Jemez,89814976.63852756,0.1779268
1927,37,East Fork Jemez,89814976.63852756,0.2024701
1928,37,East Fork Jemez,89814976.63852756,0.0005282
1932,37,East Fork Jemez,89814976.63852756,0.0195742
1933,37,East Fork Jemez,89814976.63852756,0.0195742
1934,37,East Fork Jemez,89814976.63852756,0.0195742
1940,37,East Fork Jemez,89814976.63852756,0.0005282
1942,37,East Fork Jemez,89814976.63852756,0.1823676
1944,37,East Fork Jemez,89814976.63852756,0.0195742
1951,37,East Fork Jemez,89814976.63852756,18.9409520
1959,37,East Fork Jemez,89814976.63852756,1.5152579
1960,37,East Fork Jemez,89814976.63852756,0.1121775
1961,37,East Fork Jemez,89814976.63852756,14.8551430
1964,37,East Fork Jemez,89814976.63852756,0.0005282
1985,37,East Fork Jemez,89814976.63852756,0.0466706
1992,37,East Fork Jemez,89814976.63852756,0.0839813
2000,37,East Fork Jemez,89814976.63852756,0.0956706
2005,37,East Fork Jemez,89814976.63852756,0.5755750
2011,37,East Fork Jemez,89814976.63852756,45.6677960
2013,37,East Fork Jemez,89814976.63852756,25.4958427
2016,37,East Fork Jemez,89814976.63852756,4.5887582
1913,38,EFJ at Hidden Valley,111091221.91230069,0.1823676
1922,38,EFJ at Hidden Valley,111091221.91230069,0.1823676
1923,38,EFJ at Hidden Valley,111091221.91230069,0.3415091
1927,38,EFJ at Hidden Valley,111091221.91230069,0.2024701
1928,38,EFJ at Hidden Valley,111091221.91230069,0.0201024
1932,38,EFJ at Hidden Valley,111091221.91230069,0.0195742
1933,38,EFJ at Hidden Valley,111091221.91230069,0.0195742
1934,38,EFJ at Hidden Valley,111091221.91230069,0.0195742
1939,38,EFJ at Hidden Valley,111091221.91230069,0.0607395
1940,38,EFJ at Hidden Valley,111091221.91230069,0.0005282
1942,38,EFJ at Hidden Valley,111091221.91230069,0.1823676
1943,38,EFJ at Hidden Valley,111091221.91230069,0.0005282
1944,38,EFJ at Hidden Valley,111091221.91230069,0.0195742
1951,38,EFJ at Hidden Valley,111091221.91230069,18.9409520
1959,38,EFJ at Hidden Valley,111091221.91230069,4.8482730
1960,38,EFJ at Hidden Valley,111091221.91230069,0.1782017
1961,38,EFJ at Hidden Valley,111091221.91230069,15.2835806
1964,38,EFJ at Hidden Valley,111091221.91230069,0.0005282
1985,38,EFJ at Hidden Valley,111091221.91230069,0.0466706
1992,38,EFJ at Hidden Valley,111091221.91230069,0.0839813
2000,38,EFJ at Hidden Valley,111091221.91230069,0.0956706
2003,38,EFJ at Hidden Valley,111091221.91230069,0.1613635
2005,38,EFJ at Hidden Valley,111091221.91230069,0.5755750
2011,38,EFJ at Hidden Valley,111091221.91230069,47.3345904
2013,38,EFJ at Hidden Valley,111091221.91230069,35.3931724
2016,38,EFJ at Hidden Valley,111091221.91230069,5.0628894
2018,38,EFJ at Hidden Valley,111091221.91230069,2.3416748
1910,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0195742
1913,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.2019418
1914,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0011164
1916,39,Rio San Antonio at Battleship Rock,271783763.92420042,10.1558712
1922,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0195742
1923,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.2215160
1924,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0005282
1925,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0005282
1926,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0195742
1927,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0010565
1928,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.5677336
1929,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0393057
1930,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0782968
1931,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0005282
1932,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0005282
1933,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0195742
1934,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0464934
1935,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0010565
1937,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.2225725
1938,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0211589
1939,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0010565
1940,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.4239861
1941,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0010565
1942,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0036529
1943,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0206307
1944,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0201024
1945,39,Rio San Antonio at Battleship Rock,271783763.92420042,9.7844416
1947,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0005282
1948,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.0005282
1949,39,Rio San Antonio at Battleship Rock,271783763.92420042,18.7702406
1950,39,Rio San Antonio at Battleship Rock,271783763.92420042,30.2666816
1953,39,Rio San Antonio at Battleship Rock,271783763.92420042,20.2353307
1955,39,Rio San Antonio at Battleship Rock,271783763.92420042,18.1399679
1956,39,Rio San Antonio at Battleship Rock,271783763.92420042,18.7782804
1957,39,Rio San Antonio at Battleship Rock,271783763.92420042,18.2551064
1959,39,Rio San Antonio at Battleship Rock,271783763.92420042,33.3585151
1960,39,Rio San Antonio at Battleship Rock,271783763.92420042,74.2085384
1961,39,Rio San Antonio at Battleship Rock,271783763.92420042,27.6175413
1962,39,Rio San Antonio at Battleship Rock,271783763.92420042,2.2850341
1963,39,Rio San Antonio at Battleship Rock,271783763.92420042,1.1122264
1964,39,Rio San Antonio at Battleship Rock,271783763.92420042,20.3497839
1971,39,Rio San Antonio at Battleship Rock,271783763.92420042,1.7572030
1973,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.4857059
1980,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.1247677
2005,39,Rio San Antonio at Battleship Rock,271783763.92420042,7.3665053
2011,39,Rio San Antonio at Battleship Rock,271783763.92420042,72.7424345
2012,39,Rio San Antonio at Battleship Rock,271783763.92420042,0.5186854
